"Temp_C","Rel.Hum_.","Wind.Speed_km.h","Visibility_km","Press_kPa","Weather"
-0.0194069484172943,-0.528678588034349,1.95700404843289,1.2385308029051,-1.45657143601692,"Rain Showers"
-2.03484379222969,-1.78639337206468,0.169673556180333,1.2385308029051,0.462924970641339,"Snow"
-2.00335259154512,-2.86443461551924,-0.723991689945944,1.13424311268347,0.803663977740435,"Snow"
-1.75142298606857,-2.68476107494348,-1.17082431300908,0.578042098168113,0.485640904447941,"Snow"
-1.63595525022515,-1.96606691264044,-0.723991689945944,-0.534359930862604,0.394777169221516,"Snow"
-1.5519787150663,-1.96606691264044,-0.500575378414375,0.578042098168113,0.28119750018849,"Snow"
-1.49949338059202,-1.06769920976163,-0.947408001477513,-1.1021484665137,0.247123599478578,"Snow"
-1.49949338059202,-0.70835212861011,-0.723991689945944,-0.534359930862604,0.167617831155447,"Snow"
-1.44700804611774,-1.06769920976163,-0.947408001477513,0.207241421824541,0.122185963542243,"Snow"
-1.67794351780458,-1.6965566017768,-1.95278140336958,-0.534359930862604,0.247123599478578,"Snow"
-1.75142298606857,-1.33720952062527,-0.277159066882806,-1.28754880468549,0.178975798058756,"Snow"
-1.80390832054285,-1.06769920976163,0.169673556180333,-1.33389888922843,0.0767540959290223,"Snow"
-1.82490245433256,-1.06769920976163,0.504798023477687,-1.1021484665137,0.0426801952191111,"Snow"
-2.07683205980911,0.190015574268696,0.504798023477687,-1.38024897377138,-0.0254676062007113,"Snow"
-1.85639365501713,-0.888025669185871,0.728214335009256,-0.348959592690818,-0.0368255731040043,"Snow"
-1.74092591917371,-0.438841817746468,-0.0537427553512364,1.2385308029051,-0.445712381622923,"Snow"
-1.18458137374633,-1.24737275033739,-0.723991689945944,1.13424311268347,1.31477248838909,"Snow"
-1.23706670822061,-1.60671983148892,-0.0537427553512364,1.13424311268347,1.43971012432542,"Snow"
-1.24756377511547,-1.42704629091315,-0.0537427553512364,-0.534359930862604,1.53057385955185,"Snow"
-1.31054617648461,-1.60671983148892,0.504798023477687,1.13424311268347,1.56464776026176,"Snow"
-1.26855790890518,-1.51688306120104,-0.277159066882806,1.13424311268347,1.54193182645516,"Snow"
-1.18458137374633,-1.15753598004951,-0.500575378414375,0.207241421824541,1.36020435600229,"Snow"
-1.13209603927205,-0.70835212861011,-0.723991689945944,-0.163559254519032,1.29205655458248,"Snow"
-1.06911363790292,-0.618515358322229,-0.947408001477513,0.207241421824541,1.24662468696926,"Snow"
-0.953645902059497,-0.528678588034349,-1.17082431300908,1.13424311268347,1.13304501793624,"Snow"
-0.323821888368124,-1.51688306120104,1.95700404843289,1.2385308029051,-0.298058811879985,"Snow"
-0.41829549042183,-0.70835212861011,0.169673556180333,-0.916748128341913,-0.354848646396498,"Snow"
-0.397301356632118,-0.528678588034349,1.17504695807239,1.2385308029051,-0.43435441471963,"Snow"
-0.491774958685824,0.369689114844457,1.39846326960396,-0.731347790170127,-0.570650017559258,"Snow"
-0.407798423526974,0.190015574268696,0.281381711946117,-0.731347790170127,-0.525218149946054,"Snow"
-1.31054617648461,-0.977862439473752,1.73358773690132,-0.916748128341913,0.0767540959290223,"Snow"
-1.27905497580004,-0.70835212861011,1.73358773690132,-1.28754880468549,-0.00275167239409309,"Snow"
-1.2160725744309,-0.528678588034349,1.95700404843289,-1.1021484665137,-0.0936154076205338,"Snow"
-1.19507844064119,-0.618515358322229,1.62187958113553,-1.42659905831432,-0.218553043556869,"Snow"
-1.17408430685148,-0.349005047458588,1.62187958113553,-1.1021484665137,-0.366206613299807,"Snow"
-1.35253444406403,0.190015574268696,-0.947408001477513,-1.42659905831432,0.167617831155447,"Snow"
-1.34203737716918,0.100178803980815,-0.947408001477513,-1.38024897377138,0.122185963542243,"Snow"
-1.30004910958975,-0.0794947365949458,-0.277159066882806,-1.19484863559959,0.0540381621224202,"Snow"
-1.24756377511547,-0.0794947365949458,-0.277159066882806,-1.51929922740022,0.0653961290257132,"Snow"
-1.20557550753605,0.0103420336929348,-0.277159066882806,-1.38024897377138,-0.0141096392974022,"Snow"
-0.943148835164641,-3.044108156095,1.39846326960396,1.2385308029051,0.0767540959290223,"Snow"
-0.953645902059497,-2.68476107494348,1.39846326960396,0.207241421824541,0.0994700297356244,"Snow"
-1.09010777169263,-0.528678588034349,0.728214335009256,-1.42659905831432,0.0653961290257132,"Snow"
-1.00613123653378,-1.33720952062527,1.62187958113553,1.2385308029051,-0.0368255731040043,"Snow"
-0.995634169638922,-1.24737275033739,0.951630646540825,1.2385308029051,-0.0822574407172246,"Snow"
-0.995634169638922,-0.888025669185871,0.281381711946117,1.2385308029051,-0.00275167239409309,"Snow"
-1.11110190548234,-2.23557722350408,0.281381711946117,1.2385308029051,0.508356838254543,"Snow"
-1.1215989723772,-1.33720952062527,0.504798023477687,0.207241421824541,0.428851069931427,"Snow"
-1.17408430685148,-0.528678588034349,0.504798023477687,-0.916748128341913,0.303913433995092,"Snow"
-1.16358723995662,-0.349005047458588,1.17504695807239,-1.1021484665137,0.156259864252154,"Snow"
-1.14259310616691,-0.169331506882826,0.728214335009256,-1.38024897377138,0.0426801952191111,"Snow"
-1.14259310616691,-0.169331506882826,0.951630646540825,-1.28754880468549,-0.0822574407172246,"Snow"
-1.1215989723772,-0.169331506882826,1.17504695807239,-1.19484863559959,-0.241268977363472,"Snow"
-1.07961070479777,-0.169331506882826,0.951630646540825,-1.38024897377138,-0.468428315429541,"Snow"
-0.985137102744066,-0.0794947365949458,0.504798023477687,0.207241421824541,-0.638797818979081,"Snow"
